flood_id,start_date,end_date,duration,total_rainfall,max_rainfall
345,2018-06-27,2018-06-27,1,12.926102,12.926102
346,2018-07-01,2018-07-01,1,21.008015,21.008015
347,2018-07-03,2018-07-03,1,11.483669,11.483669
348,2018-07-25,2018-07-26,2,39.810657,22.42279
349,2018-08-14,2018-08-14,1,25.531292,25.531292
350,2018-08-18,2018-08-19,2,25.624276000000002,13.966084
351,2018-08-22,2018-08-22,1,11.29055,11.29055
352,2018-08-25,2018-08-25,1,37.992954,37.992954
353,2018-08-31,2018-08-31,1,38.542747,38.542747
354,2018-09-04,2018-09-04,1,13.252258,13.252258
355,2018-09-11,2018-09-11,1,12.151241,12.151241
356,2018-09-30,2018-09-30,1,17.258644,17.258644
357,2019-05-24,2019-05-24,1,25.033474,25.033474
358,2019-06-14,2019-06-14,1,11.205673,11.205673
359,2019-07-02,2019-07-02,1,11.211395,11.211395
360,2019-07-07,2019-07-07,1,11.274338,11.274338
361,2019-07-19,2019-07-21,3,68.774224,33.854485
362,2019-07-23,2019-07-23,1,14.073849,14.073849
363,2019-08-08,2019-08-08,1,28.254509,28.254509
364,2019-08-17,2019-08-17,1,14.783859,14.783859
365,2019-08-20,2019-08-20,1,21.752357,21.752357
366,2019-08-23,2019-08-24,2,51.203251,39.629936
367,2019-08-26,2019-08-26,1,11.978626,11.978626
368,2019-08-28,2019-08-29,2,27.480601999999998,15.302658
369,2019-09-01,2019-09-02,2,25.196552,12.620926
370,2019-09-08,2019-09-08,1,14.95266,14.95266
371,2019-09-12,2019-09-12,1,12.161255,12.161255
372,2019-10-01,2019-10-01,1,22.99738,22.99738
373,2019-10-09,2019-10-09,1,20.244122,20.244122
374,2019-10-11,2019-10-12,2,50.668238,37.84561
375,2020-05-10,2020-05-10,1,19.811153,19.811153
376,2020-07-01,2020-07-01,1,54.16107,54.16107
377,2020-07-10,2020-07-11,2,71.988106,52.299976
378,2020-07-24,2020-07-24,1,15.96117,15.96117
379,2020-07-28,2020-07-28,1,12.46357,12.46357
380,2020-08-15,2020-08-15,1,103.52372,103.52372
381,2020-08-21,2020-08-21,1,12.543201,12.543201
382,2020-08-27,2020-08-28,2,25.962353,13.032913
383,2020-08-31,2020-09-01,2,44.282913,28.614521
384,2020-09-03,2020-09-03,1,15.447617,15.447617
385,2020-09-05,2020-09-06,2,32.137394,19.144535
386,2020-09-10,2020-09-10,1,11.174202,11.174202
387,2020-09-16,2020-09-17,2,60.207842,32.56893
388,2020-10-01,2020-10-01,1,160.59587,160.59587
389,2020-10-04,2020-10-04,1,16.0079,16.0079
390,2020-10-09,2020-10-10,2,35.341739000000004,19.228935
391,2021-06-07,2021-06-07,1,13.902664,13.902664
392,2021-06-20,2021-06-21,2,27.768611999999997,14.966488
393,2021-07-28,2021-07-28,1,11.773109,11.773109
394,2021-07-31,2021-07-31,1,36.015987,36.015987
395,2021-08-17,2021-08-17,1,12.771606,12.771606
396,2021-08-21,2021-08-21,1,16.150475,16.150475
397,2021-08-25,2021-08-25,1,11.19566,11.19566
398,2021-08-28,2021-08-28,1,99.206924,99.206924
399,2021-09-02,2021-09-02,1,27.395248,27.395248
400,2021-09-09,2021-09-09,1,28.007984,28.007984
401,2021-09-15,2021-09-15,1,12.615204,12.615204
402,2021-10-18,2021-10-18,1,19.573212,19.573212
403,2022-06-06,2022-06-06,1,13.979912,13.979912
404,2022-06-16,2022-06-16,1,12.086391,12.086391
405,2022-06-18,2022-06-18,1,19.053936,19.053936
406,2022-07-02,2022-07-03,2,37.734509,25.405884
407,2022-07-17,2022-07-17,1,13.296127,13.296127
408,2022-07-23,2022-07-23,1,34.388065,34.388065
